Year,Date,Country,City,Deaths,Type,More info
,April 11,Algeria,Algiers,33,car bombs (2),Main article: 11 April 2007 Algiers bombings
,March 29,Iraq,Khalis,47,car bombs (3),
,March 27,Iraq,Tal Afar,152,truck bombs (2),Main article: 2007 Tal Afar bombings
,Feb. 18,Iraq,Baghdad,62,car bombs (2),Main article: 18 February 2007 Baghdad bombings
,Feb. 14,Iran,Zahedan,18,car bomb,Main article: 2007 Zahedan bombings
,Feb. 12,Iraq,Baghdad,79,car bombs (3),Main article: 12 February 2007 Baghdad bombings
,Feb. 3,Iraq,Baghdad,135,truck bomb,Main article: 3 February 2007 Baghdad market bombing
,Jan. 22,Iraq,Baghdad,88,car bombs (2),Main article: 22 January 2007 Baghdad bombings
2007,Jan. 16,Iraq,Baghdad,70,"suicide car bombs, school bombings",Main article: Mustansiriya University bombings
,December 30,Spain,Madrid,2,van bomb,Main article: 2006 Madrid-Barajas Airport bombing
,Dec. 12,Iraq,Baghdad,71,"minibus bomb, car bomb",
,Dec. 2,Iraq,Baghdad,51,car bombs (3),
,Nov. 23,Iraq,Sadr City,215,car bombs (6),Main article: 23 November 2006 Sadr City bombings
,Oct. 16,Sri Lanka,Digampathana,100,truck bomb,Main article: 2006 Digampathana truck bombing
,Aug. 3,Afghanistan,Panjwayi,21,car bomb,
,July 1,Iraq,Sadr City,66,car bomb,Main article: 1 July 2006 Sadr City bombing
2006,March 12,Iraq,Sadr City,58,car bombs (2),
,Nov. 19,Iraq,Abu Sayda,50,car bomb,
,Nov. 18,Iraq,Khanaqin,74,suicide car bombs,Main article: 2005 Khanaqin bombings
,September 29,Iraq,Balad,102,car bombs (3),Main article: 2005 Balad bombings
,September 14,Iraq,Baghdad,114,car bomb,Main article: 14 September 2005 Baghdad bombing
,Aug. 17,Iraq,Baghdad,43,car bombs (3),Main article: 17 August 2005 Baghdad bombings
,July 23,Egypt,Sharm el-Sheikh,88,car bombs (2),Main article: 2005 Sharm el-Sheikh attacks
,July 16,Iraq,Mussayib,98,truck bomb,Main article: 2005 Musayyib bombing
,Feb. 28,Iraq,Hilla,125,car bomb,Main article: 2005 Al Hillah bombing
2005,Feb. 14,Lebanon,Beirut,22,truck bomb,
,Dec. 19,Iraq,Karbala and Najaf,67,car bombs (2),
,Oct. 7,Egypt,"Hilton Taba, Taba",31,truck bomb,
,Oct. 7,Pakistan,Multan,40,car bomb,
,September 30,Iraq,Baghdad,41,car bombs (3),Main article: 30 September 2004 Baghdad bombing
,September 14,Iraq,"Police station, Baghdad",47,car bomb,Main article: 14 September 2004 Baghdad bombing
,September 9,Indonesia,"Australian Embassy, Jakarta",9,van bomb,Main article: 2004 Jakarta embassy bombing
,July 28,Iraq,"Police station, Baquba",68,suicide car bomb,Main article: 2004 Baqubah bombing
,June 24,Iraq,"Police stations, Mosul",62,car bombs (5),
,June 18,Iraq,Baghdad,35,suicide car bomb,Main article: June 2004 Baghdad bombing
,June 17,Iraq,"Iraqi army recruitment center, Baghdad",35,car bomb,
,May 15,Iraq,Mosul,62,car bombs,Main article: 2004 Mosul bombings
,May 13,Iraq,"Karbala, Najaf",67,suicide car bombs,Main article: 2004 Karbala Najaf bombings
,April 21,Iraq,"Police stations, Basra",74,car bombs (4),Main article: 21 April 2004 Basra bombings
,Feb. 11,Iraq,"Iraqi Army facility, Baghdad",47,car bomb,
,Feb. 10,Iraq,"Police Station, Iskandariya",53,truck bomb,
2004,Jan. 18,Iraq,"Coalition Headquarters, Baghdad",31,truck bomb,
,Dec. 27,Iraq,"Coalition targets, Karbala",19,car bombs (4),Main article: 2003 Karbala bombings
